id,file,A01_total_chars,A02_para_count,A03_avg_para_len,A04_para_len_var,A05_avg_sent_len,A06_sent_len_var,A07_dialog_ratio,A08_dialog_turn_density,A09_short_para_ratio,A10_narr_ratio,A11_qmark_density,A12_emark_density,A13_ellipsis_density,A14_dash_density,A15_conflict_density,A16_emotion_density,A17_money_density,A18_number_density,A19_head_dialog_ratio,A20_head_qmarks,A21_head_conflict,A22_first_para_len,A23_first_person_start,A24_first_person_ratio,A25_tail_dialog_ratio,A26_tail_emark_share,A27_last_para_len,A28_finish_mark,A29_ttr_bigram,A30_chengyu_density,A31_tone_density,A32_section_count,A33_avg_section_len,A34_scene_shift_density,A35_title_len,A36_title_has_number,A37_title_suspense,A38_title_identity
001,1800机票不批让我坐高铁，8400万废标后董事长怒了.txt,9721,566,17.175,178.476,14.604,85.774,0.5016,26.952,0.5724,0.5371,9.258,0.0,0.0,0.0,2.572,2.469,1.852,7.098,0.4367,7,3,11,0,2.932,0.2014,0.0,20,0,0.5811,0.0,1.234,0,9721,0.823,27,1,1,0
002,8600万分完后，16亿合同停了.txt,34656,2760,12.557,40.071,11.643,38.134,0.5152,37.194,0.7417,0.533,5.684,0.664,0.115,0.0,1.5,2.799,0.317,3.665,0.0,0,1,15,0,1.899,0.2755,0.0,17,0,0.4531,0.029,0.231,0,34656,0.462,16,1,0,0
003,爱意死在第三次失望里.txt,12110,738,16.409,74.934,15.577,75.658,0.4792,29.149,0.5474,0.5217,4.707,3.386,1.486,0.0,3.386,6.606,0.495,1.734,0.6167,2,0,18,1,3.939,0.121,0.0,36,0,0.5618,0.165,0.578,0,12110,0.248,10,1,0,0
004,爱越云海，故人不候.txt,10426,560,18.618,83.543,16.647,84.744,0.3664,16.401,0.4393,0.6946,4.604,8.824,2.494,0.192,4.316,4.892,0.0,0.671,0.12,0,0,10,0,3.04,0.5388,0.0217,11,0,0.6808,0.192,3.549,0,10426,1.151,9,0,0,0
005,把悲伤留在过去，他给的伤害让他带走.txt,9474,584,16.223,59.127,15.927,56.886,0.4226,24.171,0.5,0.6079,4.117,1.372,0.211,0.0,3.694,4.855,0.106,2.322,0.3567,2,0,30,0,2.85,0.1468,0.0,11,0,0.6553,0.0,1.583,0,9474,1.056,17,0,0,0
006,把我赐婚给暗卫后，王爷他悔吐血.txt,10128,503,20.135,98.654,19.47,112.609,0.3899,19.451,0.3539,0.6083,5.43,4.838,2.765,0.0,2.863,5.332,0.099,1.58,0.38,1,1,23,0,2.231,0.3159,0.0816,6,1,0.7048,0.592,3.258,0,10128,0.691,15,0,0,0
007,把我的保研名额换给废物姐姐后，全家遭了报应.txt,11884,671,17.711,54.298,15.136,58.514,0.3183,16.156,0.3964,0.7139,5.217,10.434,2.693,0.168,7.489,6.143,0.252,0.757,0.2633,0,2,11,0,2.179,0.1386,0.0645,44,0,0.6495,0.841,2.188,0,11884,0.673,21,0,0,0
008,把我送给王爷解毒后，未婚夫他悔疯了.txt,10268,557,18.434,79.046,18.81,104.293,0.3385,19.575,0.4237,0.6463,6.623,3.311,4.48,0.195,3.311,5.356,0.097,1.656,0.1733,3,0,18,1,3.496,0.1237,0.0,6,1,0.7163,0.974,2.824,0,10268,0.0,17,0,2,0
009,爸爸为私生女改我志愿，我反手让她退档.txt,10139,630,16.094,104.844,15.398,104.0,0.3442,15.978,0.5905,0.7429,4.537,4.734,1.184,0.789,5.72,3.945,0.493,5.03,0.0,0,2,10,0,3.176,0.1174,0.125,5,1,0.6246,0.296,2.466,0,10139,0.493,18,0,0,0
010,爸妈，我不想再做姐姐的墓碑了.txt,10086,637,15.834,47.756,14.934,74.296,0.3198,16.26,0.5651,0.7441,6.445,4.561,0.0,0.0,5.156,5.255,0.0,2.28,0.17,2,4,1,0,3.421,0.3528,0.0435,13,0,0.6356,0.099,2.38,0,10086,0.694,14,0,0,0
